#{"t_start": 1682400303.2991648, "env_id": null}
r,l,t,current_date,agent_id
49.936665,23,35.584316,2018-02-21,30
74.99666,24,36.703919,2017-07-18,9
75.29334,27,40.33805,2018-07-22,7
-33.573334,29,42.970333,2018-02-22,2
15.640002,30,44.482721,2018-07-02,31
73.413315,31,45.553293,2017-12-13,18
-26.890003,32,47.187517,2018-04-11,1
84.479996,32,47.187929,2017-05-22,6
-27.769999,32,47.188031,2017-06-16,11
60.773327,33,48.96418,2017-06-09,20
45.120003,33,48.96478,2017-07-05,21
-15.079997,33,48.964814,2018-04-06,26
55.040012,34,50.707363,2018-04-28,14
24.376663,35,52.287926,2018-03-09,16
46.64666,35,52.288024,2017-06-11,24
56.210007,35,52.288047,2018-04-10,25
104.82666,35,52.288066,2017-07-15,27
29.136663,36,53.817799,2017-11-27,4
25.206661,36,53.81789,2017-11-15,17
74.69332,37,55.521899,2017-10-04,5
110.34334,37,55.522018,2018-08-28,15
-6.2933326,37,55.522047,2018-04-21,28
36.946667,38,57.066041,2018-08-26,13
-13.04667,39,58.854939,2018-08-24,3
-168.36998,39,58.85505,2017-09-10,12
-43.69667,40,60.338036,2018-08-17,22
-67.01666,41,61.258919,2017-08-29,19
-2.3633354,42,62.537458,2018-03-20,23
-1.0566707,45,65.931154,2017-11-14,8
-109.53333,46,67.360502,2017-09-01,0
-216.66,46,67.360598,2017-09-06,29
29.460007,48,69.671059,2017-10-25,10
77.89667,21,76.146646,2018-07-19,26
73.276665,32,77.634147,2017-07-07,30
54.876663,25,77.634241,2017-10-15,31
99.41,28,80.093005,2018-07-15,2
33.97334,22,80.093135,2018-03-27,25
85.11,31,81.522036,2017-11-11,7
